Project number,Lot,Supplier,Deliverable,MGR BE Number,Location,Resource,Contractors Name,CW,Work Description (e.g. Roof Works),Year,Date Received,Date Reviewed,Duration between receipt/review,Status (Authorised or Rejected with amendments Req),Has been authorised eventually?,Invoiced to MGR?,Comments,Work Stream
34478215,2,KR Analytics Ltd,MARS Review,44.65.16.46,GU16 6JY,Tate Benjamin,Arc Ltd,No,Heating Installations,3,2023-11-28,2023-11-29,"1 day, 0:00:00",Authorised,N/A,Yes,qdfuj,WS3
42661972,2,KR Analytics Ltd,MARS Review,64.53.65.41,CT1 3BG,Tate Benjamin,German Ltd,No,Vent Repairs,3,2023-10-02,2023-10-11,"9 days, 0:00:00",Authorised,N/A,Yes,pjjoi,WS1
23244700,1,KR Analytics Ltd,MARS Review,33.22.15.13,CO7 0QT,Cora Lindsey,MEKOS Ltd,No,Air Conditioning Installations,3,2024-02-15,2024-02-19,"4 days, 0:00:00",Rejected,Yes,No,culkk,WS1
25694438,1,KR Analytics Ltd,MARS Review,52.63.41.42,BT71 6EX,Jazmine Mathis,Epiphany Ltd,No,Other Repairs,3,2023-10-21,2023-10-27,"6 days, 0:00:00",Rejected,Yes,No,xwaai,WS1
23322712,4,KR Analytics Ltd,MARS Review,36.36.41.65,DA1 2RZ,Cora Lindsey,Elixir Ltd,Yes,Roof repair,3,2024-01-16,2024-01-18,"2 days, 0:00:00",Authorised,N/A,Yes,gxdqq,WS1
98565332,1,KR Analytics Ltd,MARS Review,53.14.33.13,FK15 0BJ,Cora Lindsey,Aboard Service Ltd,No,Vent Repairs,3,2023-12-02,2023-12-12,"10 days, 0:00:00",Rejected,No,No,zbatp,WS3
14104516,1,KR Analytics Ltd,MARS Review,34.53.34.53,B97 9LW,Marcos Mcpherson,Elixir Ltd,No,Bird Netting Repair,3,2023-07-29,2023-08-09,"11 days, 0:00:00",Authorised,N/A,Yes,uumxu,WS1
64383645,4,KR Analytics Ltd,MARS Review,35.54.35.14,GL14 1JN,Cora Lindsey,Centurion Ltd,Yes,Fall Protection Inspection,3,2023-12-31,2024-01-03,"3 days, 0:00:00",Authorised,N/A,Yes,zvenu,WS3
86172175,0,KR Analytics Ltd,MARS Review,53.21.45.36,BH24 3JA,Brayden Giles,Arc Ltd,Yes,Air Conditioning Installations,3,2023-04-20,2023-05-04,"14 days, 0:00:00",Authorised,N/A,Yes,dfrto,WS1
98268103,0,KR Analytics Ltd,MARS Review,11.66.66.21,BN24 5HE,Cassius Mullins,MEKOS Ltd,No,Air Conditioning Installations,3,2023-07-26,2023-08-01,"6 days, 0:00:00",Authorised,N/A,Yes,ubmyq,WS1
30644201,3,KR Analytics Ltd,MARS Review,21.43.15.65,BL2 2HG,Tate Benjamin,Elixir Ltd,Yes,Vent Repairs,3,2023-11-05,2023-11-09,"4 days, 0:00:00",Authorised,N/A,Yes,pppwm,WS1
80176842,4,KR Analytics Ltd,MARS Review,65.26.23.13,BN15 8BJ,Kenny Merritt,Centurion Ltd,Yes,Asbestos Survey,3,2023-10-26,2023-10-27,"1 day, 0:00:00",Authorised,N/A,Yes,uqkzc,WS3
